total_self_citing_rate,Reference_count_of_each_paper_published,two_years_self_citing_rate,three_years_self_citing_rate,average_pub_rate,incoming_citations,outgoing_references,total_other_cited_rate,two_years_other_cited_rate,three_years_other_cited_rate
0.762711864,0.07788162,0.917840909,0.782971813,0.002949282,0.003969355,0.01782911,0.470655055,0.739142857,0.705014749
0.640198968,0.137889408,0.693409091,0.630321308,0.012425687,0.053947149,0.130204514,0,0.268857143,0.215339233
0.231761238,0.003894081,0.054090909,0.098712446,0.005764385,0.019825959,0.030603764,0.694812571,0.881,0.840052442
0.338061901,0.080880062,0.641931818,0.578819163,0.030907518,0.162438239,0.057046634,0.465354033,0.209571429,0.188462799
0.547531319,0.15576324,0.594886364,0.537524649,0.014349836,0.107412008,0.066282354,0.488451344,0.457714286,0.481809243
1,0.012149533,0.641022727,0.739473379,0.013581961,0.057687503,0.032917787,0.756531617,0.438714286,0.450180269
0.015291083,0.060576324,0.103636364,0.055446004,0.051816877,0.06066105,0.091632038,0.789473684,0.778857143,0.828089151
0.142778187,0.053161994,0.152954545,0.133279202,0.075915489,0.128535641,0.084408865,0.792881484,0.816857143,0.843166175
0.373434046,0.033380062,0.396363636,0.565131655,0.009756838,0.032393272,0.018533909,0.786065884,0.523857143,0.408718453
0.897383935,1,0.868522727,0.688667208,0.027582399,0.2733616,0.076463239,0.618326392,0.224142857,0.325794821
0.018607222,0.003543614,0.028863636,0.025519081,0.037451478,0.089137012,0.030269698,0.95153351,0.968428571,0.968207145
0.143330877,0.060521807,0.264090909,0.207052546,0.079342986,0.142081413,0.051602434,0.692540704,0.640714286,0.712389381
0.24963154,0.016323988,0.172840909,0.191161118,0.036332705,0.077745933,0.079374779,0.753881106,0.836142857,0.77826942
0.004421518,0.014602804,0.009090909,0.007191741,0.008657903,0.215989841,0.082939515,0.959863688,0.977285714,0.97394297
0.039793662,0.012274143,0.072272727,0.05138615,0.098872751,0.126550963,0.069578207,0.850814086,0.910428571,0.920353982
0.165254237,0.021487539,0.165340909,0.141978889,0.005604443,0.020131294,0.033682338,0.703142749,0.841285714,0.871517535
0.106116433,0.04720405,0.210454545,0.262962533,0.017907088,0.042597707,0.013846112,0.830367285,0.761857143,0.710258931
0.105379514,0.035693146,0.245113636,0.17445772,0.006590649,0.020599706,0.024835004,0.588034835,0.831,0.813831531
0.594325718,0.017702492,0.811704545,0.713838302,0.002519106,0.007470299,0.01094272,0.819007952,0.801571429,0.851032448
0.139277819,0.003247664,0.078409091,0.114139891,0.010564802,0.035210681,0.030169206,0.84778493,0.821428571,0.803343166
0.116985999,0.015817757,0.180113636,0.162974133,0.020626825,0.010679787,0.045325783,0.783415373,0.804571429,0.791379875
0.126197494,0.021635514,0.062386364,0.066697599,0.015644528,0.013094709,0.032041881,0.931465354,0.862571429,0.91756801
0.557295505,0.097352025,0.649318182,0.630901288,0.009925594,0.036709599,0.02235938,0.813328285,0.480571429,0.620943953
0.953205601,0.000872274,0.051704545,0.124231528,0.008894311,0.004999861,0.041808577,0.670200682,0.285714286,0.508357915
0.035187915,0.016394081,0.038068182,0.042570467,0.022207238,0.075091601,0.020763736,0.963650133,0.957714286,0.954605048
